Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-10-18,26.819423245050302,26.819423245050302,26.73032217114648,26.765962600708008,722400,18,0,42,10,1993
1993-10-19,26.730328258614183,26.783788915131414,26.5699462890625,26.5699462890625,880100,19,1,42,10,1993
1993-10-20,26.65905530741769,26.65905530741769,26.552133962601843,26.605594635009766,230400,20,2,42,10,1993
1993-10-21,26.623406945579728,26.623406945579728,26.534305851384346,26.5699462890625,56200,21,3,42,10,1993
1993-10-22,26.60558958259233,26.712510907103752,26.445207595825195,26.445207595825195,390700,22,4,42,10,1993
1993-10-25,26.46301313754051,26.552114191875663,26.391732294072387,26.5164737701416,114500,25,0,43,10,1993
1993-10-26,26.49866485595703,26.516485074421023,26.409563763637067,26.49866485595703,186200,26,1,43,10,1993
1993-10-27,26.46301313754051,26.534293981008634,26.46301313754051,26.5164737701416,118400,27,2,43,10,1993
1993-10-28,26.552112011849044,26.783774734100078,26.552112011849044,26.712493896484375,129600,28,3,43,10,1993
1993-10-29,26.69467368708045,26.7303141058883,26.676853477676524,26.712493896484375,80700,29,4,43,10,1993
1993-11-01,26.67686166972695,26.80160317386061,26.67686166972695,26.783782958984375,36400,1,0,44,11,1993
1993-11-02,26.748142385927242,26.801603030269536,26.605580667681128,26.765962600708008,262100,2,1,44,11,1993
1993-11-03,26.748141556917936,26.748141556917936,26.302636201206447,26.427377700805664,479100,3,2,44,11,1993
1993-11-04,26.42737922720464,26.42737922720464,26.124435567823333,26.142255783081055,130400,4,3,44,11,1993
1993-11-05,26.070960770792038,26.266983032226562,25.964039537282297,26.266983032226562,363200,5,4,44,11,1993
1993-11-08,26.284814979325787,26.373916047052315,26.213534125144566,26.302635192871094,367600,8,0,45,11,1993
1993-11-09,26.480835554966188,26.498655767318116,26.3026334314469,26.320453643798828,246900,9,1,45,11,1993
1993-11-10,26.320451450604263,26.5164737701416,26.249170607136143,26.5164737701416,46500,10,2,45,11,1993
1993-11-11,26.51648847883281,26.587769361840426,26.42738737507329,26.445207595825195,88900,11,3,45,11,1993
1993-11-12,26.498665413706195,26.659047383257878,26.48084519486712,26.5699462890625,108200,12,4,45,11,1993
1993-11-15,26.623404893299078,26.623404893299078,26.480843153575925,26.5521240234375,243300,15,0,46,11,1993
1993-11-16,26.60557234311152,26.694673389136675,26.49865108788133,26.67685317993164,492600,16,1,46,11,1993
1993-11-17,26.694676027112234,26.694676027112234,26.46301328455385,26.53429412841797,39600,17,2,46,11,1993
1993-11-18,26.498658846203327,26.55211948947072,26.391737559668545,26.4630184173584,240800,18,3,46,11,1993
1993-11-19,26.373905485619094,26.445186311255902,26.356085279209893,26.4095458984375,106000,19,4,46,11,1993
1993-11-22,26.33826944282568,26.3560896521916,26.160067349166507,26.249168395996094,165300,22,0,47,11,1993
1993-11-23,26.391714096069336,26.409534294648722,26.249152507434253,26.391714096069336,89700,23,1,47,11,1993
1993-11-24,26.463024419029043,26.516485074421023,26.42738398210106,26.49866485595703,77200,24,2,47,11,1993
1993-11-26,26.569934402742692,26.569934402742692,26.498653559274572,26.5164737701416,1019800,26,4,47,11,1993
1993-11-29,26.58774796252952,26.641208581757127,26.4095458984375,26.4095458984375,517500,29,0,48,11,1993
1993-11-30,26.391737272348742,26.55211920040488,26.373917058120284,26.427377700805664,230000,30,1,48,11,1993
1993-12-01,26.56993970389318,26.587759918315644,26.4630184173584,26.4630184173584,379200,1,2,48,12,1993
1993-12-02,26.51647391745194,26.552114339383998,26.46301328455385,26.53429412841797,352000,2,3,48,12,1993
1993-12-03,26.516480492429192,26.64122200012207,26.516480492429192,26.64122200012207,306000,3,4,48,12,1993
1993-12-06,26.676861240386962,26.76596231333415,26.676861240386962,26.730321884155273,99500,6,0,49,12,1993
1993-12-07,26.7303141058883,26.748134315292226,26.676853477676524,26.712493896484375,88800,7,1,49,12,1993
1993-12-08,26.712493896484375,26.712493896484375,26.676853477676524,26.712493896484375,146700,8,2,49,12,1993
1993-12-09,26.712496977094986,26.748137400013057,26.587755496881734,26.623395919799805,416500,9,3,49,12,1993
1993-12-10,26.641227164418805,26.641227164418805,26.51648563254527,26.5699462890625,412900,10,4,49,12,1993
1993-12-13,26.569939952850344,26.730321884155273,26.534299523671468,26.730321884155273,273200,13,0,50,12,1993
1993-12-14,26.748136660010324,26.748136660010324,26.53429412841797,26.53429412841797,41900,14,1,50,12,1993
1993-12-15,26.569945729813,26.587765948276992,26.49866485595703,26.49866485595703,82600,15,2,50,12,1993
1993-12-16,26.605583049017365,26.605583049017365,26.55212239989007,26.5877628326416,78200,16,3,50,12,1993
1993-12-17,26.644164283803644,26.751817472829114,26.626222085632733,26.733875274658203,104700,17,4,50,12,1993
1993-12-20,26.715941150450515,26.787709964823787,26.697998946857197,26.76976776123047,68800,20,0,51,12,1993
1993-12-21,26.7338975163699,26.7338975163699,26.644186450878724,26.680070877075195,205700,21,1,51,12,1993
1993-12-22,26.751815279882273,26.87741065678313,26.69798868978191,26.859468460083008,410300,22,2,51,12,1993
1993-12-23,26.841527938842773,26.89535453230302,26.80564354320261,26.841527938842773,533800,23,3,51,12,1993
1993-12-27,26.841524083563623,26.985061645507812,26.841524083563623,26.985061645507812,447100,27,0,52,12,1993
1993-12-28,26.967127757588205,27.05683876143913,26.94918555681802,27.038896560668945,880600,28,1,52,12,1993
1993-12-29,27.056830660290892,27.074772855688963,26.98506187869861,27.00300407409668,266700,29,2,52,12,1993
1993-12-30,26.98506621601901,26.98506621601901,26.84152862976359,26.895355224609375,219900,30,3,52,12,1993
1993-12-31,26.94919725618932,26.985081673308077,26.733890753476754,26.751832962036133,312900,31,4,52,12,1993
1994-01-03,26.751839729468134,26.787724155664606,26.644186450878724,26.680070877075195,960900,3,0,1,1,1994
1994-01-04,26.715956592751443,26.7877254486084,26.680072164822967,26.7877254486084,164300,4,1,1,1,1994
1994-01-05,26.823585741022693,26.859470136662857,26.7159325541022,26.841527938842773,710900,5,2,1,1,1994
1994-01-06,26.87741233448294,26.89535453230302,26.80564354320261,26.841527938842773,201000,6,3,1,1,1994
1994-01-07,26.89535090170825,27.02094626949475,26.82358212011597,27.00300407409668,775500,7,4,1,1,1994
1994-01-10,27.038888843609012,27.325963973999023,26.96712006101151,27.325963973999023,593700,10,0,2,1,1994
1994-01-11,27.30803444761979,27.30803444761979,27.182439019805507,27.27215003967285,295200,11,1,2,1,1994
1994-01-12,27.290083456511542,27.290083456511542,27.092719276352682,27.182430267333984,158400,12,2,2,1,1994
1994-01-13,27.110673904418945,27.16450052368649,27.074789491573917,27.110673904418945,244300,13,3,2,1,1994
1994-01-14,27.200361489463813,27.272130253288257,27.200361489463813,27.218303680419922,137200,14,4,2,1,1994
1994-01-17,27.218303680419922,27.254188062332144,27.16447710755159,27.218303680419922,17700,17,0,3,1,1994
1994-01-18,27.254228591918945,27.29011302719468,27.200401939005346,27.254228591918945,166400,18,1,3,1,1994
1994-01-19,27.218314663726503,27.254199060119024,27.128603672745204,27.182430267333984,200800,19,2,3,1,1994
1994-01-20,27.218344156643212,27.272170809556812,27.200401939005346,27.254228591918945,281100,20,3,3,1,1994
1994-01-21,27.29009899677891,27.29009899677891,27.182445746298516,27.200387954711914,85600,21,4,3,1,1994
1994-01-24,27.182432938885214,27.308028338602835,27.092721939086914,27.092721939086914,373800,24,0,4,1,1994
1994-01-25,27.110664139046573,27.128606339006232,27.038895339207933,27.092721939086914,310400,25,1,4,1,1994
1994-01-26,27.092741874281607,27.18245294009049,27.056857447958055,27.16451072692871,145100,26,2,4,1,1994
1994-01-27,27.218327105357382,27.451575788527883,27.18244269256192,27.415691375732422,344500,27,3,4,1,1994
1994-01-28,27.523341684366333,27.57716829782989,27.487457275390625,27.487457275390625,356500,28,4,4,1,1994
1994-01-31,27.595109157104886,27.738646786010506,27.55922474987848,27.6848201751709,313800,31,0,5,1,1994
1994-02-01,27.648935875908172,27.648935875908172,27.50539824644207,27.541282653808594,303600,1,1,5,2,1994
1994-02-02,27.63099781517844,27.7207088470459,27.613055608804945,27.7207088470459,307600,2,2,5,2,1994
1994-02-03,27.666867282207672,27.666867282207672,27.50538751207806,27.5950984954834,466100,3,3,5,2,1994
1994-02-04,27.59511165910773,27.630996069587713,26.967134475708008,26.967134475708008,1403200,4,4,5,2,1994
1994-02-07,26.89535773953065,27.164490738925554,26.89535773953065,27.092721939086914,516400,7,0,6,2,1994
1994-02-08,27.146558317263974,27.146558317263974,27.00302066588386,27.110673904418945,188200,8,1,6,2,1994
1994-02-09,27.12859272563937,27.236245871376035,27.09270834372715,27.218303680419922,144600,9,2,6,2,1994
